date,price
2/11/2014,344.73
2/12/2014,346.14
2/13/2014,346.26
2/14/2014,348.03
2/17/2014,350.13
2/18/2014,351.5
2/19/2014,351.35
2/20/2014,349.26
2/21/2014,352.1
2/24/2014,353.41
2/25/2014,354.96
2/26/2014,352.99
2/27/2014,353.06
2/28/2014,357.07
3/3/2014,350.89
3/4/2014,354.96
3/5/2014,356.42
3/6/2014,359.37
3/7/2014,358.35
3/10/2014,356.17
3/11/2014,356.49
3/12/2014,352.84
3/13/2014,352.7
3/14/2014,348.94
3/17/2014,351.13
3/18/2014,353.74
3/19/2014,353.27
3/20/2014,348.02
3/21/2014,347.55
3/24/2014,346.42
3/25/2014,348.21
3/26/2014,350.28
3/27/2014,350.52
3/28/2014,352.17
3/31/2014,354.89
4/1/2014,356.85
4/2/2014,357.59
4/3/2014,356.54
4/4/2014,357.8
4/7/2014,354.69
4/8/2014,353.09
4/9/2014,355
4/10/2014,355.25
4/11/2014,350.35
4/14/2014,346.82
4/15/2014,344.99
4/16/2014,349.53
4/17/2014,352.07
4/18/2014,352.62
4/21/2014,351.9
4/22/2014,354.48
4/23/2014,354.7
4/24/2014,355.08
4/25/2014,353.98
4/28/2014,352.19
4/29/2014,353.71
4/30/2014,354.23
5/1/2014,355.5
5/2/2014,356.53
5/5/2014,356.27
5/6/2014,358.19
5/7/2014,354.6
5/8/2014,355.65
5/9/2014,353.26
5/12/2014,354.54
5/13/2014,354.96
5/14/2014,354.54
5/15/2014,350.86
5/16/2014,347.44
5/19/2014,346.87
5/20/2014,346.9
5/21/2014,347.68
5/22/2014,350.18
5/23/2014,351.31
5/26/2014,354.31
5/27/2014,354.76
5/28/2014,355.52
5/29/2014,356.44
5/30/2014,357.24
6/2/2014,358.18
6/3/2014,356.76
6/4/2014,357.25
6/5/2014,358.35
6/6/2014,361.6
6/9/2014,361.89
6/10/2014,361.2
6/11/2014,360.37
6/12/2014,361.3
6/13/2014,359.69
6/16/2014,358.89
6/17/2014,358.59
6/18/2014,359.92
