date,price
8/5/2018,230.4
8/12/2018,237.64
8/19/2018,235.8
8/26/2018,237.73
9/2/2018,234.97
9/9/2018,234.4
9/16/2018,233.72
9/23/2018,230
9/30/2018,222.97
10/7/2018,216.82
10/14/2018,222.5
10/21/2018,221.6
10/28/2018,221.64
11/4/2018,230.29
11/11/2018,230.18
11/18/2018,228.34
11/25/2018,234
12/2/2018,234.69
12/9/2018,228.65
12/16/2018,213.77
12/23/2018,212.2
12/30/2018,210.47
1/6/2019,220.89
1/13/2019,225.75
1/20/2019,228.43
1/27/2019,234.73
2/3/2019,239.35
2/10/2019,240.65
2/17/2019,241.13
