date,price
2/12/2014,172.74
2/13/2014,172.58
2/14/2014,172.92
2/17/2014,173.51
2/18/2014,174.44
2/19/2014,174.76
2/20/2014,173.97
2/21/2014,174.58
2/24/2014,174.12
2/25/2014,174.78
2/26/2014,174.55
2/27/2014,174.22
2/28/2014,175.18
3/3/2014,174.32
3/4/2014,176.17
3/5/2014,176.48
3/6/2014,176.79
3/7/2014,176.07
3/10/2014,174.62
3/11/2014,175.25
3/12/2014,174.06
3/13/2014,173.76
3/14/2014,173.14
3/17/2014,173.44
3/18/2014,174.31
3/19/2014,172.73
3/20/2014,170.71
3/21/2014,172.05
3/24/2014,171.99
3/25/2014,172.71
3/26/2014,172.16
3/27/2014,173.04
3/28/2014,174.1
3/31/2014,175.61
4/1/2014,176.13
4/2/2014,177.26
4/3/2014,177.02
4/4/2014,177.79
4/7/2014,177.99
4/8/2014,178.64
4/9/2014,178.23
4/10/2014,178
4/11/2014,176.62
4/14/2014,176.78
4/15/2014,177.38
4/16/2014,178.62
4/17/2014,178.81
4/18/2014,179.04
4/21/2014,178.91
4/22/2014,179.27
4/23/2014,178.78
4/24/2014,179.43
4/25/2014,178.55
4/28/2014,178.8
4/29/2014,179.24
4/30/2014,179.63
5/1/2014,180.22
5/2/2014,180.55
5/5/2014,180.56
5/6/2014,180.81
5/7/2014,181.19
5/8/2014,181.69
5/9/2014,181.62
5/12/2014,182.1
5/13/2014,182.39
5/14/2014,183.33
5/15/2014,183.2
5/16/2014,183.58
5/19/2014,183.05
5/20/2014,182.45
5/21/2014,181.67
5/22/2014,182.03
5/23/2014,183.39
5/26/2014,183.6
5/27/2014,184.29
5/28/2014,183.77
5/29/2014,184.18
5/30/2014,184.76
6/2/2014,185.42
6/3/2014,185.58
6/4/2014,185.21
6/5/2014,186.83
6/6/2014,187.25
6/9/2014,186.46
6/10/2014,185.66
6/11/2014,185.26
6/12/2014,185.04
6/13/2014,184.8
6/16/2014,184.08
6/17/2014,183.95
6/18/2014,184.44
6/19/2014,186.03
6/20/2014,186.35
6/23/2014,185.84
6/24/2014,185.64
6/25/2014,185.62
6/26/2014,185.76
6/27/2014,186.38
6/30/2014,186.48
7/1/2014,187.05
7/2/2014,187.22
7/3/2014,186.81
7/4/2014,186.89
7/7/2014,187.07
7/8/2014,186.95
7/9/2014,186.97
7/10/2014,187.71
